@relation T3BotAgent-training-weka.filters.unsupervised.attribute.Discretize-unset-class-temporarily-B5-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R4-364

@attribute marioXpos {'\'(-inf-809.29468]\'','\'(809.29468-1586.58936]\'','\'(1586.58936-2363.88404]\'','\'(2363.88404-3141.17872]\'','\'(3141.17872-inf)\''}
@attribute marioYpos {'\'(-inf-70.2]\'','\'(70.2-108.4]\'','\'(108.4-146.6]\'','\'(146.6-184.8]\'','\'(184.8-inf)\''}
@attribute intermediateReward {'\'(-inf-341]\'','\'(341-725]\'','\'(725-1109]\'','\'(1109-1493]\'','\'(1493-inf)\''}
@attribute coinsObserved {'\'(-inf-6]\'','\'(6-12]\'','\'(12-18]\'','\'(18-24]\'','\'(24-inf)\''}
@attribute blocksObserved {'\'(-inf-4.8]\'','\'(4.8-9.6]\'','\'(9.6-14.4]\'','\'(14.4-19.2]\'','\'(19.2-inf)\''}
@attribute enemiesObserved {'\'(-inf-14]\'','\'(14-28]\'','\'(28-42]\'','\'(42-56]\'','\'(56-inf)\''}
@attribute coins5TicksAgo {'\'(-inf-22]\'','\'(22-44]\'','\'(44-66]\'','\'(66-88]\'','\'(88-inf)\''}
@attribute kills5TicksAgo {'\'(-inf-3.2]\'','\'(3.2-6.4]\'','\'(6.4-9.6]\'','\'(9.6-12.8]\'','\'(12.8-inf)\''}
@attribute coinsFuture6Ticks {'\'(-inf-0.8]\'','\'(0.8-1.6]\'','\'(1.6-2.4]\'','\'(2.4-3.2]\'','\'(3.2-inf)\''}
@attribute killsFuture6Ticks {'\'(-inf-0.2]\'','\'(0.2-0.4]\'','\'(0.4-0.6]\'','\'(0.6-0.8]\'','\'(0.8-inf)\''}
@attribute coinsFuture12Ticks {'\'(-inf-1.6]\'','\'(1.6-3.2]\'','\'(3.2-4.8]\'','\'(4.8-6.4]\'','\'(6.4-inf)\''}
@attribute killsFuture12Ticks {'\'(-inf-0.4]\'','\'(0.4-0.8]\'','\'(0.8-1.2]\'','\'(1.2-1.6]\'','\'(1.6-inf)\''}
@attribute coinsFuture24Ticks {'\'(-inf-2.4]\'','\'(2.4-4.8]\'','\'(4.8-7.2]\'','\'(7.2-9.6]\'','\'(9.6-inf)\''}
@attribute killsFuture24Ticks {'\'(-inf-0.4]\'','\'(0.4-0.8]\'','\'(0.8-1.2]\'','\'(1.2-1.6]\'','\'(1.6-inf)\''}
@attribute flowersDevoured {'\'All\''}
@attribute killsByFire {'\'All\''}
@attribute killsByShell {'\'All\''}
@attribute killsByStomp {'\'(-inf-3.2]\'','\'(3.2-6.4]\'','\'(6.4-9.6]\'','\'(9.6-12.8]\'','\'(12.8-inf)\''}
@attribute killsTotal {'\'(-inf-3.2]\'','\'(3.2-6.4]\'','\'(6.4-9.6]\'','\'(9.6-12.8]\'','\'(12.8-inf)\''}
@attribute marioMode {'\'(-inf-1.2]\'','\'(1.2-1.4]\'','\'(1.4-1.6]\'','\'(1.6-1.8]\'','\'(1.8-inf)\''}
@attribute marioStatus {'\'All\''}
@attribute mushroomsDevoured {'\'All\''}
@attribute coinsGained {'\'(-inf-22]\'','\'(22-44]\'','\'(44-66]\'','\'(66-88]\'','\'(88-inf)\''}
@attribute timeLeft {'\'(-inf-151.8]\'','\'(151.8-163.6]\'','\'(163.6-175.4]\'','\'(175.4-187.2]\'','\'(187.2-inf)\''}
@attribute timeSpent {'\'(-inf-11.8]\'','\'(11.8-23.6]\'','\'(23.6-35.4]\'','\'(35.4-47.2]\'','\'(47.2-inf)\''}
@attribute hiddenBlocksFound {'\'All\''}
@attribute distancePassedCells {'\'(-inf-50.4]\'','\'(50.4-98.8]\'','\'(98.8-147.2]\'','\'(147.2-195.6]\'','\'(195.6-inf)\''}
@attribute distancePassedPhys {'\'(-inf-809.2]\'','\'(809.2-1586.4]\'','\'(1586.4-2363.6]\'','\'(2363.6-3140.8]\'','\'(3140.8-inf)\''}

@data
'\'(-inf-809.29468]\'','\'(146.6-184.8]\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(14-28]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(146.6-184.8]\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(14-28]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(146.6-184.8]\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(14-28]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(146.6-184.8]\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(14-28]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(14-28]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(14-28]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(14-28]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(14-28]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(146.6-184.8]\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(146.6-184.8]\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(146.6-184.8]\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(146.6-184.8]\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(146.6-184.8]\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(146.6-184.8]\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(146.6-184.8]\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(146.6-184.8]\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(146.6-184.8]\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(146.6-184.8]\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(146.6-184.8]\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(146.6-184.8]\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(28-42]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(42-56]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
'\'(-inf-809.29468]\'','\'(184.8-inf)\'','\'(-inf-341]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(42-56]\'','\'(-inf-22]\'','\'(-inf-3.2]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'All\'','\'All\'','\'All\'','\'(-inf-3.2]\'','\'(-inf-3.2]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-22]\'','\'(187.2-inf)\'','\'(-inf-11.8]\'','\'All\'','\'(-inf-50.4]\'','\'(-inf-809.2]\''
